date,score,city,comment,nick
2018-07-31,4.5,沈阳,太搞笑了，好好,GTO343766857
2018-07-31,5,高邮,非常的不错，值得一看,Wfh493360338
2018-07-31,5,遵义,值得一看的好电影!!,xgv667998412
2018-07-31,5,韶关,有钱改变一切，这是真的，结局也是，没钱也救不了人，各种美食花天酒地，看的让人欲罢不能！影片和《我不是药神》，表现是两个极端，这个暑期可以，国产影片没让人失望！,南瓜头nannan
2018-07-31,5,呼和浩特,很开心也很感动，建议大家看看。不剧透,t兔半仙
2018-07-31,5,海口,很好看啊全程没尿点！！,xSW887219198
2018-07-31,5,威海,不曾让人失望    沈腾胖了,bo272508149
2018-07-31,5,北京,很不错！！！,胖涛子
2018-07-31,5,丹阳,哈哈哈哈哈哈哈笑死我了,MFx503380813
2018-07-31,5,佛山,很有意思，很久没有这么开心过了，感谢！！！！,LDD小不点
2018-07-31,5,蒙城,很搞笑 很好看 完美,CC19940528
2018-07-31,4,成都,太搞笑了，好看,xuS793602187
2018-07-31,5,东莞,全场爆笑不止，笑到流泪😂,SKQ11054766
2018-07-31,5,汕头,真心棒，感想挺多。,ol。334
2018-07-31,5,东莞,看得很开心就好了！！😂😁,世界和平482
2018-07-31,5,石狮,搞笑，😱😱😱,xNN655823351
2018-07-31,4.5,溆浦,比较不错的，,Moist_鯀鯀
2018-07-31,5,石家庄,看完我也想有个10亿！……,小三三333333
2018-07-31,5,成都,好看，推荐喜欢喜剧的朋友看一下,涵忧涵
2018-07-31,5,泰州,女主角好像初恋,UYP317029970
2018-07-31,0.5,荆州,看完才发现是爆米花电影，看的时候还行，结束了以后觉得是烂片,qw5234585
2018-07-31,4.5,准格尔旗,好看 好看 好看,LTX13847736080
2018-07-31,5,广州,笑疯了哈哈哈哈哈哈,莫莫9089
2018-07-31,5,襄阳,好，哈哈哈哈哈哈哈哈，好搞笑〜(￣▽￣〜),PHN956337108
2018-07-31,4.5,三河,挺逗的，就是没有实质内涵,寜2174
2018-07-31,3,霍邱,还好，一般般没有想像中的震撼,tDx959750983
2018-07-31,5,射阳,值得一看，适合带女票看看,董亮520
2018-07-31,5,惠州,开心麻花的作品总是那么精彩，让人印象深刻，全程笑点不断，保持笑点的同时还隐藏着一些哲理，这就是开心麻花。,邻家酱油妞丶
2018-07-31,5,衢州,捧腹大笑，尾部有感动！赞赞赞！,汪贱贱82
2018-07-31,2.5,合浦县,一般般吧。。无所谓,GKi816155506
2018-07-31,5,南充,还可以，满好看的！,杨成军571
2018-07-31,5,乌兰察布,很好看，沈腾就是搞笑的保证,欧巴丶思密达
2018-07-31,5,上海,很喜欢，上班挺烦躁的，看看开心一下。,你若安好季
2018-07-31,4.5,樟树,感觉不错  但是也一般,BWM312776329
2018-07-31,4.5,衡阳,还可以啦。有点低级小趣味～🙊,dMc356052408
2018-07-31,0,温岭,总体还行，但没<我不是药神>好看，药神主演演技都很出彩，故事情节很走心,QXq303040912
2018-07-31,5,肇庆,从头笑到尾👏👏👏,Aa_H
2018-07-31,4,武汉,笑点还蛮多的,LQG463018348
2018-07-31,5,常州,挺搞笑的，就喜欢搞笑的,贤小一
2018-07-31,5,潍坊,挺好看的😊,roT976361167
2018-07-31,5,济南,全程笑点！真很好！,lcdzjxp
2018-07-31,5,长沙,搞笑搞笑😃,YVt712497684
2018-07-31,5,张家港,很搞笑很暖，，,lwx641680713
2018-07-31,5,金坛,挺好看的，蛮搞笑的。,龙行天下3336
2018-07-31,5,吉林,我笑了，这就足够了,IMC彬少
2018-07-31,5,常州,笑得肚子疼，太幽默了,张逸可
2018-07-31,4.5,乌鲁木齐,电影不错，笑点很密集，麻花出品质量保证,周明爸爸
2018-07-31,5,牡丹江,完美，除了周星驰就是沈腾能带给我欢乐了,俺叫高富贵
2018-07-31,4.5,武汉,好看，很搞笑，很喜欢😊👍👍👍👍,朱丹丹947
2018-07-31,3.5,海口,还好，就是觉得没那么好笑,Nry653449073
2018-07-31,4.5,南昌,笑得前仰后合，朋友笑得几次喝饮料的时候都喷了。。,Gwl516509137
2018-07-31,5,江都,没有什么药说的，就是好看,大仙丨胡
2018-07-31,5,郑州,挺搞笑，也挺感动，喜欢沈腾叔叔,Gyd398043182
2018-07-31,5,乐亭,非常好看，解压,tsltlj
2018-07-31,5,常熟,从头笑到尾~支持国产！,尘心980
2018-07-31,5,绍兴,现在的电影真是越来越好看了,金牌骑手胡智民
2018-07-31,4.5,十堰,不错，挺好看的,xubin6868
2018-07-31,4.5,永康,这部剧真的好看  从头笑到尾  笑出腹肌,黑凤梨fff
2018-07-31,5,凉山,真的很好看呢,Hmq656385902
2018-07-31,5,鞍山,笑的脸疼 好看,bobozhaoziyi
2018-07-31,5,上海,好看的很现实的,Ni建红
2018-07-31,5,遂宁,笑得哭，哈哈哈😄,GZU380276426
2018-07-31,5,贵阳,无尿点 很搞笑,柠檬加醋酸更酸
2018-07-31,5,吕梁,好看，推荐去看一下,abf172901852
2018-07-31,5,保定,沈老板的片子太好看了，从头笑到尾，值回票价，笑得我腮帮子疼😆 ,cNw901005836
2018-07-31,2.5,宜昌,不好看！！！,a592588984
2018-07-31,4.5,衡阳,还不错，挺好看，好笑,sbO889336277
2018-07-31,5,珠海,真的好看，好笑中带来不少反省。,Zhd155497271
2018-07-31,5,顺德,很好看，全程都是笑点。沈腾就是谐星之王,顽固7523
2018-07-31,5,涪陵,非常好看。非常爆笑,2018毛毛
2018-07-31,5,东莞,真的挺好看的,YnT812594561
2018-07-31,5,四会,可以 内容搞笑丰富 和一个 以后不知道还能不能见面的人去看的  一个月的相识  突然隔壁床位没人了 有点陌生 有点孤独,GjK371166085
2018-07-31,4.5,烟台,沈腾的作品从不让人失望！！！,wangxiaoguai2012
2018-07-31,5,成都,不错的喜剧电影,谁家猫大仙
2018-07-31,0.5,宁乡,什么鬼，不知道笑点在哪，Low得要命,FnI663054093
2018-07-31,5,黔东南,推荐去看   。。,迟到的糖果
2018-07-31,3.5,宁波,西红柿首富整体看下来我只能说一般吧，虽然笑点很多，但其实好几个地方都过于刻意，不自然，不生活化，可以说没有一个高潮的笑。影片主旨有关于人性和金钱的抗争说的不够全面，有的人因为金钱会丧失人性，有的人不会。有的人因为金钱丧失人性一辈子会内疚，有的人也不会，那些把面子看得比命还重要的人，到死都不承认自己做过的糗事，脏事。或许影片想要表达的就是简单的快乐，没有内涵并不是没有市场，在中国不愁没有市场。,zfc135168
2018-07-31,5,上海,全程都是笑点，值得一看的电影,小小洋葱lgz
2018-07-31,5,哈尔滨,不错，完美👍,iPx157719476
2018-07-31,5,沈阳,非常好看，笑中带泪，全程无尿点。推荐,oKb738532135
2018-07-31,5,朝阳,很好看，抨击了现实中的一些事情，期待开心麻花团队拍出更多的好作品！,Joker3232
2018-07-31,5,成都,好看、人性与金钱,zx114723
2018-07-31,5,南宁,笑点十足，值得一看,苿莉485
2018-07-31,4,黄冈,比较幽默搞笑,WbY266522536
2018-07-31,3,香河,感觉情节一般,简_001
2018-07-31,5,沈阳,挺好看的 作为喜剧完成的质量蛮高了,杳然四两
2018-07-31,5,新洲区,非常满意好看,当8161
2018-07-31,4.5,江阴,搞笑，有意思，开心，呵呵呵,HuI652436049
2018-07-31,0.5,深圳,一直很喜欢开心麻花，但不得不说，这是一部烂片，为驴得水感到悲哀。女主角什么来路，小沈阳的片子也是她演，实在跳戏。哎… 失望,張帆615
2018-07-31,5,同安,很棒，很喜剧的,uMm614320809
2018-07-31,4.5,南通,挺好看的，夸张的剧情设置，到位的表演,JayAI
2018-07-31,5,成都,阔以阔以阔以,GMS342409599
2018-07-31,5,吴川,不一样的搞笑节目，真好看,geI782081293
2018-07-31,5,大庆,"真正的富翁是这样的。
",fsW222542252
2018-07-31,5,上海,非常好笑又不俗，剧情紧凑,qZy403939877
2018-07-31,5,广州,喜欢😘喜欢💕,jat672781787
2018-07-31,5,广汉,电影很好看，从头笑到尾，表达的主题也很有意义,xkr230452289
2018-07-31,5,鄂州,超搞笑，从头笑到尾,hcp115103196
2018-07-31,5,绵阳,可以，非常好看，不错，很有意思！本年度最好看的电影。,yIy277589144
2018-07-31,5,齐齐哈尔,好看 很有意思,rPN732601671
2018-07-31,4.5,上蔡,看着不错。真心点赞,井玉蕾
2018-07-31,5,佛山,很有意思，很久没有这么开心过了，感谢！！！！,LDD小不点
2018-07-31,5,蒙城,很搞笑 很好看 完美,CC19940528
2018-07-31,5,黄冈,"怎么硕呢,这个电影太画面了",KJo710038717
2018-07-31,2,天津,下次还是这种质量的片子，不看了,kws946275749
2018-07-31,5,三河,太逗了，力挺！！！值得去看的好片子,YFm260884766
2018-07-31,5,滁州,挺幽默的，搞笑,IQz578873567
2018-07-31,5,许昌,不错不错，值得一看！,BJl756625358
2018-07-31,3,南京,笑点不及夏洛特烦恼，内涵不如驴得水，总体质量不如羞羞的铁拳，本以为是个人的感觉，看看时光，原来不是我一个人这么认为。开心麻花无疑是做大了，观众的期望也越来越高，但照顾市场的结果就是作品的虎头蛇尾。这部片子开头不错，结尾就明显弱的多，足球的段落明显的不合拍，不知要表达什么。这年头还玩什么台湾富豪的梗未免太过时，其实主要是女主角实在是太出戏，不是说她不好，只是不适合这本片子。笑点总归有的，但出了影院居然不记得，配乐质量也下降了，找不到可以媲美夏洛特烦恼的主题歌。宽容点的话，也算是国产片的良心作品了，起点太高确实后面很难做，包括筷子兄弟，宁浩，其实都是一样，希望下一部更好，加油！,nAg212399928
2018-07-31,5,湖州,绝对值得一看，会让你把所有的不愉快都抛到脑后,幽灵王M
2018-07-31,5,青岛,集搞笑，教育于一体。值的一看,PfD287960897
2018-07-31,5,海口,"不错,笑感十足",啵啰啵啰蜜
2018-07-31,4.5,丽水,全场笑点频频，缓解工作压力,纭小寂
2018-07-31,5,海城,特别好看，强烈推荐👍,ORW663479299
2018-07-31,5,贵阳,"我从来没有因为自己得到一笔遗产而骄傲，但是我为自己是一个守门员而骄傲，即使这
个守门员没那么出色。——王多鱼
是真爱，没错了",fIh809711392
2018-07-31,5,天津,全程爆笑 这是我看过最搞笑的电影了 没有之一,Model小朋友
2018-07-31,5,上海,很好，值得推荐,RvZ463270880
2018-07-31,5,江阴,不错，挺好的,evV486948484
2018-07-31,4.5,宜都,笑中带泪，宣扬正确价值观，人性亲情＞金钱💰 ，赞一个！,悟空5285
2018-07-31,5,广州,很好看，出乎我的意料,QYX698099704
2018-07-31,4,定西,作为一部喜剧显然是出色的，但中间演唱会的情节略显单调，让人觉得有些尴尬。,wrn962378457
2018-07-31,5,西宁,题材挺棒的，可以去看。,宫歆达
2018-07-31,4.5,玉林,笑点很多 全程都在笑,ONE14671
2018-07-31,1,盐城,说实话  先不论电影本身如何  未来影城的音效  我只能给一颗星,黑猫警长8931
2018-07-31,5,合肥,能把整个电影院的人，都逗的笑的前俯后仰的电影当然是成功的❤,tjy938768332
2018-07-31,5,青岛,好看，逗笑。,战邦德
2018-07-31,5,通江县,真的太搞笑了,Fsm571128161
2018-07-31,5,巴中,虽然喜剧的成分占多数但是也很感人。挺正能量的。喜欢,hGP884609331
2018-07-31,4.5,费县,非常好。笑死我了，,MWs690711048
2018-07-31,5,长乐,不劳而获得的一比巨款，用金钱来试探人性，试问多少人可以做到,Ypv386357313
2018-07-31,5,晋中,电影很好看，感觉真棒,君临天下5885
2018-07-31,5,大通,笑死在场子里,Devil.酒
2018-07-31,5,中卫,很不错，诠释了人性和金钱。,好姐妹包饼铺
2018-07-31,4,西安,喜剧片来说很不错,石冠希
2018-07-31,5,鞍山,很搞笑，感觉结尾也反应出了现在社会养一个孩子的艰辛，从出生到长大直到成家！,Qmo556182541
2018-07-31,3.5,北京,哈哈哈哈哈，挺好笑,AZL255215249
2018-07-31,5,江都,"真的是很精彩的一部了 沈腾的电影一直没有让我失望过 从开场后就一直笑声不断 全程无尿点 已经笑到下巴疼 上映三天后影院还是近乎满座 可以说是很良心的一部了！！！
金钱是冰冷的 爱人的手是温暖的 在金钱面前不忘初心 真的是很棒的一部影片了！",靓大仔
2018-07-31,5,张家港,故事情节搞笑 ,rza256529131
2018-07-31,5,长沙,好看又好笑，人物刻画的非常到位，演出了人性的光辉。,reP569069571
2018-07-31,4.5,郴州,很搞笑推荐大家去看,Mei268581061
2018-07-31,5,江永,今晚带家人去看了、笑点挺多的，挺nice~值得一看,honey呆呆
2018-07-31,4,十堰,我个人觉得夏洛特的烦恼更好看，没有像网上人说的那样笑岔气了,_qqkxz1434860017
2018-07-31,5,开封,特别搞笑，值得一看,LRi678926834
2018-07-31,4,莱芜,笑点是比较多的，又是一部沈氏喜剧。,Wxd883723245
2018-07-31,5,江油,真的强!写出了一些事情，甜!,scJ306168106
2018-07-31,4.5,临沂,搞笑啊 好看。有钱真好。有钱没钱就是两个世界。,小柠柠萌萌萌
2018-07-31,5,湘潭,开心麻花，沈腾值得一看。笑点一个接一个，没停。,Mkr635893094
2018-07-31,2,常德,以为是铁拳差不多水平了的作品  结果一下掉三阶楼梯下面那条沟里了    挺失望的   再期待一次下一部作品吧,Meiqiuy
2018-07-31,5,陵水,非常不错，好看！,aLE813613255
2018-07-31,5,江油,好看，很好看，,tcl1234567899
2018-07-31,5,深圳,好搞笑，好满意,IKf758227585
2018-07-31,4.5,巴中,还是很不错的,dXZ328376612
2018-07-31,0.5,佛山,评你马啦个B,SONG2701
